Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years
Alex Freeland,alex freeland,alex,freeland,72,2025,2025,INF,Los Angeles Dodgers,AAA,24,1,2025
Jorge Alfaro,jorge alfaro,jorge,alfaro,72,2017,2017,C,Kansas City Royals,AA,32,1,2017
Xavier Edwards,xavier edwards,xavier,edwards,72,2020,2021,2B/OF,Miami Marlins,MLB,26,2,2020;2021
Yanquiel Fernández,yanquiel fernandez,yanquiel,fernandez,72,2024,2024,OF,New York Yankees,AAA,23,1,2024
Cooper Ingle,cooper ingle,cooper,ingle,73,2026,2026,C,Cleveland Guardians,AAA,24,1,2026
Gabriel Arias,gabriel arias,gabriel,arias,73,2022,2022,INF,Cleveland Guardians,MLB,26,1,2022
James Triantos,james triantos,james,triantos,73,2025,2025,2B/OF,Chicago Cubs,AAA,23,2,2024;2025
Felnin Celesten,felnin celesten,felnin,celesten,74,2025,2025,SS,Seattle Mariners,A+,20,1,2025
Jonny Farmelo,jonny farmelo,jonny,farmelo,74,2026,2026,OF,Seattle Mariners,A+,21,2,2025;2026
Jordan Westburg,jordan westburg,jordan,westburg,74,2023,2023,INF,Baltimore Orioles,MLB,27,1,2023
Sam Huff,sam huff,sam,huff,74,2020,2021,C/1B,Baltimore Orioles,AAA,28,2,2020;2021
Tommy Troy,tommy troy,tommy,troy,74,2024,2024,2B/OF,Arizona Diamondbacks,AAA,24,1,2024
Brayan Rocchio,brayan rocchio,brayan,rocchio,75,2023,2024,SS/2B,Cleveland Guardians,MLB,25,3,2022;2023;2024
Luis García Jr.,luis garcia,luis,garcia,75,2019,2020,SS,—,—,25,2,2019;2020
Albert Almora Jr.,albert almora,albert,almora,76,2017,2017,OF,Arizona Diamondbacks,AAA,32,1,2017
Ceddanne Rafaela,ceddanne rafaela,ceddanne,rafaela,76,2024,2024,OF/SS,Boston Red Sox,MLB,25,2,2023;2024
Daulton Varsho,daulton varsho,daulton,varsho,76,2020,2020,C,Toronto Blue Jays,MLB,29,1,2020
Geraldo Perdomo,geraldo perdomo,geraldo,perdomo,78,2021,2021,SS,Arizona Diamondbacks,MLB,26,2,2020;2021
Gabriel Gonzalez,gabriel gonzalez,gabriel,gonzalez,79,2024,2024,OF,Minnesota Twins,AAA,22,1,2024
Liover Peguero,liover peguero,liover,peguero,79,2022,2022,SS,Philadelphia Phillies,AAA,25,1,2022
Michael Chavis,michael chavis,michael,chavis,79,2019,2019,3B/1B,Cincinnati Reds,AAA,30,2,2018;2019
Trevor Larnach,trevor larnach,trevor,larnach,79,2021,2021,OF,Minnesota Twins,MLB,29,2,2020;2021
Kevin Alvarez,kevin alvarez,kevin,alvarez,80,2026,2026,OF,Houston Astros,A,18,1,2026
Christian Arroyo,christian arroyo,christian,arroyo,81,2018,2018,3B/SS,New York Mets,AAA,30,2,2017;2018
Jordan Beck,jordan beck,jordan,beck,81,2024,2024,OF,Colorado Rockies,MLB,25,1,2024
Starlyn Caba,starlyn caba,starlyn,caba,81,2025,2025,SS/2B,Miami Marlins,A+,20,1,2025
Zack Collins,zack collins,zack,collins,81,2017,2017,C/1B,—,—,31,1,2017
Roldy Brito,roldy brito,roldy,brito,82,2026,2026,OF/2B,Colorado Rockies,A,19,1,2026
Thayron Liranzo,thayron liranzo,thayron,liranzo,82,2025,2025,C/1B,Detroit Tigers,AA,22,1,2025
Derek Fisher,derek fisher,derek,fisher,83,2017,2017,OF,Minnesota Twins,AAA,32,1,2017
Ezequiel Duran,ezequiel duran,ezequiel,duran,83,2022,2022,INF,Texas Rangers,MLB,26,1,2022
Kayson Cunningham,kayson cunningham,kayson,cunningham,83,2026,2026,SS,Arizona Diamondbacks,A,19,1,2026
Drew Romo,drew romo,drew,romo,84,2023,2023,C,Chicago White Sox,MLB,24,1,2023
Jefferson Rojas,jefferson rojas,jefferson,rojas,84,2026,2026,SS,Chicago Cubs,AA,21,2,2025;2026
Ronaldo Hernández,ronaldo hernandez,ronaldo,hernandez,84,2019,2019,C,—,—,28,1,2019
Sal Stewart,sal stewart,sal,stewart,84,2025,2025,INF,Cincinnati Reds,MLB,22,1,2025
Spencer Jones,spencer jones,spencer,jones,84,2024,2024,OF,New York Yankees,MLB,25,1,2024
Austin Hendrick,austin hendrick,austin,hendrick,85,2021,2021,OF,Cincinnati Reds,AA,24,1,2021
Jarren Duran,jarren duran,jarren,duran,85,2022,2022,OF,Boston Red Sox,MLB,29,1,2022
Oscar Colás,oscar colas,oscar,colas,85,2023,2023,OF,—,—,27,1,2023
Carter Jensen,carter jensen,carter,jensen,86,2025,2025,C,Kansas City Royals,MLB,22,1,2025
Pedro Ramírez,pedro ramirez,pedro,ramirez,86,2026,2026,3B/2B,Chicago Cubs,AAA,22,1,2026
Roderick Arias,roderick arias,roderick,arias,86,2024,2024,SS,New York Yankees,A+,21,1,2024
Matt McLain,matt mclain,matt,mclain,87,2022,2022,SS/2B,Cincinnati Reds,MLB,26,1,2022
Travis Swaggerty,travis swaggerty,travis,swaggerty,87,2019,2019,OF,New York Mets,AAA,28,1,2019
J.P. Martínez,j p martinez,j,martinez,88,2019,2019,OF,—,—,30,1,2019
Miguel Amaya,miguel amaya,miguel,amaya,88,2021,2021,C,Chicago Cubs,MLB,27,3,2019;2020;2021
Tyler Freeman,tyler freeman,tyler,freeman,88,2022,2022,SS/2B,Colorado Rockies,MLB,26,3,2020;2021;2022
Justin Foscue,justin foscue,justin,foscue,89,2022,2022,2B/1B,Texas Rangers,MLB,27,1,2022
Zach Neto,zach neto,zach,neto,89,2023,2023,SS,Los Angeles Angels,MLB,25,1,2023
Joey Wiemer,joey wiemer,joey,wiemer,90,2023,2023,OF,Washington Nationals,MLB,27,2,2022;2023
Nathan Flewelling,nathan flewelling,nathan,flewelling,90,2026,2026,C,Tampa Bay Rays,A+,19,1,2026
Raimel Tapia,raimel tapia,raimel,tapia,90,2017,2017,OF,—,—,32,1,2017
Alec Burleson,alec burleson,alec,burleson,91,2023,2023,OF,St. Louis Cardinals,MLB,27,1,2023
Delvin Pérez,delvin perez,delvin,perez,91,2017,2017,SS,—,—,27,1,2017
Greg Jones,greg jones,greg,jones,91,2022,2022,OF/SS,Milwaukee Brewers,AAA,28,1,2022
Pavin Smith,pavin smith,pavin,smith,91,2018,2018,1B/OF,Arizona Diamondbacks,MLB,30,1,2018
Ronny Cruz,ronny cruz,ronny,cruz,91,2026,2026,INF,Washington Nationals,A+,19,1,2026
Bobby Dalbec,bobby dalbec,bobby,dalbec,92,2021,2021,3B/1B,Kansas City Royals,AAA,30,1,2021
Cristian Hernández,cristian hernandez,cristian,hernandez,92,2022,2022,SS/2B,Miami Marlins,AA,22,1,2022
Ike Irish,ike irish,ike,irish,93,2026,2026,OF/1B,Baltimore Orioles,A+,22,1,2026
Jahmai Jones,jahmai jones,jahmai,jones,93,2018,2018,2B/OF,Detroit Tigers,MLB,28,1,2018
Miguel Bleis,miguel bleis,miguel,bleis,93,2023,2023,OF,Boston Red Sox,AA,22,1,2023
Richard Urena,richard urena,richard,urena,94,2017,2017,SS/2B,—,—,30,1,2017
Tre' Morgan,tre' morgan,tre',morgan,94,2025,2025,1B/OF,Tampa Bay Rays,ROK,23,1,2025
Tyler Stephenson,tyler stephenson,tyler,stephenson,94,2021,2021,C,Cincinnati Reds,MLB,29,1,2021
Adam Haseley,adam haseley,adam,haseley,95,2018,2018,CF,Chicago White Sox,MLB,30,1,2018
Brice Turang,brice turang,brice,turang,95,2021,2021,SS/2B/OF,Milwaukee Brewers,MLB,26,1,2021
Colton Welker,colton welker,colton,welker,95,2019,2019,3B/1B,—,—,28,1,2019
Jeimer Candelario,jeimer candelario,jeimer,candelario,95,2017,2017,3B/1B,Los Angeles Angels,AAA,32,1,2017
Jose Miranda,jose miranda,jose,miranda,95,2022,2022,3B/2B/1B,San Diego Padres,AAA,27,1,2022
Luis Lara,luis lara,luis,lara,95,2026,2026,OF,Milwaukee Brewers,AAA,21,1,2026
Nolan Schanuel,nolan schanuel,nolan,schanuel,95,2024,2024,1B,Los Angeles Angels,MLB,24,1,2024
Alex Ramírez,alex ramirez,alex,ramirez,96,2023,2023,OF,Chicago Cubs,AA,23,1,2023
Austin Wells,austin wells,austin,wells,96,2022,2022,C,New York Yankees,MLB,26,1,2022
Bobby Bradley,bobby bradley,bobby,bradley,96,2017,2017,1B,—,—,29,1,2017
Josh Hammond,josh hammond,josh,hammond,96,2026,2026,SS/3B,Kansas City Royals,A,19,1,2026
Justin Gonzales,justin gonzales,justin,gonzales,97,2026,2026,OF,Boston Red Sox,A+,19,1,2026
Ryan Clifford,ryan clifford,ryan,clifford,97,2024,2024,1B/OF,New York Mets,AAA,22,1,2024
Charles Davalan,charles davalan,charles,davalan,98,2026,2026,OF,Los Angeles Dodgers,A+,22,1,2026
Chance Sisco,chance sisco,chance,sisco,99,2017,2017,C,St. Louis Cardinals,MLB,31,1,2017
Victor Mesa,victor mesa,victor,mesa,99,2019,2019,OF,Miami Marlins,AAA,29,1,2019
