Player,Age,total_games,rows
Henry Davis,19,50,2
Pedro Ramírez,17,50,1
Brennen Davis,19,50,1
Nick Madrigal,19,49,1
Andrés Giménez,21,49,1
Edward Florentino,17,49,1
Diego Cartaya,17,49,1
Sam Huff,19,49,1
Manuel Margot,18,49,1
Eduardo Quintero,17,49,1
Kyle Manzardo,19,49,2
Jo Adell,18,49,1
Jhonny Level,17,49,1
Sebastian Walcott,17,48,1
Ronny Cruz,18,48,1
Moisés Ballesteros,17,48,1
Kevin Alvarez,17,48,1
Jaison Chourio,18,48,1
Justin Gonzales,17,48,1
Austin Meadows,18,48,1
Julio Rodríguez,20,48,1
Jordan Groshans,18,48,1
Victor Robles,17,47,1
MJ Melendez,18,47,1
Cody Bellinger,17,47,1
Adael Amador,18,47,1
Marco Luciano,17,47,1
Emmanuel Rodriguez,21,47,1
Emmanuel Rodriguez,19,47,1
Jake Bauers,17,47,1
Angel Genao,17,46,1
Emil Morales,17,46,1
Josh Bell,20,46,1
Jonny Farmelo,19,46,1
Angel Genao,18,46,1
Konnor Griffin,20,46,2
Mickey Moniak,18,46,1
Travis Bazzana,18,45,1
Jefferson Rojas,17,45,1
Joey Wiemer,19,45,1
Alfredo Duno,17,45,1
Austin Meadows,19,45,1
Yoán Moncada,18,45,1
Josue Briceño,17,45,1
Evan Carter,21,45,1
Luis Urías,17,45,1
Kevin McGonigle,21,45,1
Christian Arroyo,18,45,1
Brady House,19,45,1
Jorge Alfaro,18,45,1
Xavier Edwards,18,45,1
Clint Frazier,18,44,1
Ceddanne Rafaela,18,44,1
Joe Mack,19,44,1
Nick Madrigal,18,44,1
Eduardo Tait,16,44,1
Keibert Ruiz,16,44,1
Luis Peña,17,44,1
Samuel Basallo,17,43,1
Zach Neto,19,43,2
Junior Caminero,17,43,1
Edwin Arroyo,17,43,2
Elly De La Cruz,17,43,1
Luis Lara,21,43,1
CJ Abrams,20,42,1
Kevin Maitan,17,42,1
Corbin Carroll,18,42,1
Eloy Jiménez,17,42,1
Rainiel Rodriguez,17,42,1
Francisco Alvarez,17,42,1
Brice Turang,18,42,1
Xavier Isaac,21,41,1
Scott Kingery,19,41,1
Thayron Liranzo,18,41,1
Druw Jones,19,41,1
Liover Peguero,17,41,1
Samuel Basallo,16,41,1
Kevin Alcántara,16,41,1
Miguel Bleis,18,40,1
Julio Rodríguez,19,40,1
Curtis Mead,17,40,2
Kaelen Culpepper,18,40,1
Michael Arroyo,21,40,2
J.P. Martínez,16,40,1
Orelvis Martinez,17,40,1
Jahmai Jones,17,40,1
Gabriel Moreno,18,40,1
Yordan Alvarez,17,40,1
Austin Hays,18,39,1
Francisco Mejía,21,39,1
Colt Emerson,20,39,2
Max Clark,21,39,1
Sal Frelick,20,39,2
Edgar Quero,18,39,1
Cam Collier,21,39,1
Michael Chavis,18,39,1
Joey Wiemer,21,39,2
Sal Frelick,19,39,1
Bobby Bradley,18,39,1
Aiva Arquette,18,39,1
Brandon Marsh,19,39,1
Wander Franco,19,38,1
Lazaro Montes,21,38,1
Wyatt Langford,19,38,2
Jo Adell,21,38,1
Brooks Lee,19,38,2
Caleb Bonemer,20,38,1
Leo De Vries,19,38,1
Danny Jansen,19,38,1
Starlyn Caba,17,38,1
Bryce Eldridge,21,38,2
Luis Hernández,17,38,1
Samuel Basallo,21,37,1
Zyhir Hope,21,37,1
Bobby Witt Jr.,19,37,1
Jesús Made,19,37,1
Kevin Maitan,21,37,1
Franklin Arias,17,37,1
Gabriel Moreno,21,37,1
Cristian Hernández,21,37,2
Emmanuel Rodriguez,18,37,1
Luis Campusano,18,37,1
Josue De Paula,21,37,1
Brooks Lee,18,37,1
Brendan Rodgers,18,37,1
Jonny Farmelo,21,36,1
Ronny Cruz,19,36,1
Emil Morales,19,36,1
Josh Hammond,19,36,1
JJ Wetherholt,18,36,1
George Lombard Jr.,21,36,1
Luis Matos,18,36,1
Miguel Bleis,17,36,1
Tyler Freeman,18,36,1
Eli Willits,18,36,1
Oswald Peraza,18,36,1
Cooper Pratt,21,36,1
Danny Jansen,18,36,1
Carter Kieboom,18,36,1
Ralphy Velazquez,21,36,1
Felnin Celesten,20,35,1
Roldy Brito,19,35,1
Eduardo Tait,19,35,1
Luis Matos,19,35,1
Sal Frelick,18,35,1
Arjun Nimmala,20,35,1
Ezequiel Tovar,16,35,1
Heliot Ramos,17,35,1
Bryce Rainer,19,35,1
Endy Rodríguez,18,35,1
Dylan Carlson,21,35,1
Yordan Alvarez,16,34,1
Logan O'Hoppe,18,34,1
CJ Abrams,18,34,1
J.P. Martínez,17,34,1
Anthony Volpe,18,34,1
Billy Carlson,19,34,1
Miguel Andujar,18,34,1
Blake Mitchell,21,34,1
Kevin Alcántara,18,34,1
Jett Williams,20,33,1
Chance Sisco,18,33,1
JoJo Parker,19,33,1
Bo Naylor,18,33,1
Ethan Salas,20,33,1
Rainiel Rodriguez,19,33,1
Leody Taveras,21,33,1
Roderick Arias,21,33,1
Nathan Flewelling,19,33,1
Albert Almora Jr.,18,33,1
Gabriel Moreno,17,32,1
Jhonny Level,19,32,1
Nolan Jones,18,32,1
Felnin Celesten,18,32,1
Alfredo Duno,20,32,1
Joshua Báez,19,32,1
Alfredo Duno,18,32,1
Evan Carter,18,32,1
Justin Gonzales,19,32,1
Roderick Arias,17,32,1
Ethan Holliday,19,31,1
Miguel Bleis,19,31,1
Eduardo Quintero,20,31,1
Jackson Merrill,18,31,1
Bryce Rainer,20,31,1
Franklin Arias,20,31,1
Diego Cartaya,19,31,1
Kyle Teel,18,31,1
Endy Rodríguez,19,31,1
Bryce Eldridge,18,31,1
A.J. Ewing,21,30,1
Theo Gillen,20,30,1
Greg Jones,20,30,1
Starlyn Caba,20,30,1
Xavier Neyens,19,30,1
Kevin Alvarez,18,29,1
Jefferson Rojas,21,29,1
Gunnar Henderson,18,29,1
Jazz Chisholm Jr.,19,29,1
Corey Ray,21,28,2
Jac Caglianone,19,28,1
Luis Robert Jr.,19,28,1
Tyler O'Neill,18,28,1
Jordan Westburg,18,28,1
Sam Huff,18,28,1
Kayson Cunningham,20,28,1
Greg Jones,21,27,1
Roderick Arias,18,27,1
James Triantos,18,26,2
Jaison Chourio,21,26,1
Greg Jones,19,26,1
Marcelo Mayer,18,26,1
James Wood,18,26,1
Walker Jenkins,18,26,1
Colson Montgomery,19,26,1
Drake Baldwin,19,26,2
Bo Bichette,18,25,2
Ryan Clifford,18,25,1
Walker Jenkins,21,25,1
Colt Emerson,17,24,1
Chase DeLauter,20,24,1
Miguel Vargas,19,24,1
Oscar Colás,17,23,1
Jeferson Quero,18,23,1
Joshua Báez,18,23,1
Nolan Schanuel,18,23,1
Matt McLain,18,23,1
Max Clark,18,23,1
Termarr Johnson,18,23,1
Jordan Groshans,19,23,1
Alex Freeland,18,23,1
Jordan Lawlar,21,23,1
Gavin Cross,19,22,2
Curtis Mead,19,22,1
Kevin McGonigle,18,21,1
Thayron Liranzo,17,21,1
Edward Florentino,19,21,1
Tommy Troy,18,21,1
Nate George,20,20,1
Nathan Flewelling,17,20,1
Roman Anthony,18,20,1
Aidan Miller,19,20,1
Curtis Mead,16,20,1
Hunter Renfroe,19,20,1
Cristian Hernández,20,20,1
Luis Urías,20,20,1
Jackson Holliday,18,20,1
Carter Jensen,17,19,1
Dax Kilby,18,19,1
Jace Jung,19,19,1
Harry Ford,18,19,1
Randy Arozarena,18,19,1
Joe Mack,18,19,1
Cody Bellinger,21,19,1
Ethan Holliday,18,18,1
Brennen Davis,18,18,1
Victor Mesa,18,18,1
Gabriel Moreno,20,18,1
Cam Collier,17,18,2
Victor Mesa,19,18,1
Edwin Arroyo,20,18,1
Cole Young,18,17,1
Riley Greene,21,17,1
Dylan Crews,18,17,1
Jesús Sánchez,20,17,1
Luis Robert Jr.,15,17,1
Spencer Torkelson,20,17,1
Alec Burleson,21,17,1
Gleyber Torres,21,17,1
Brady House,18,16,1
Yordan Alvarez,19,16,1
Cooper Ingle,19,16,2
Chase DeLauter,18,16,1
Nick Gonzales,21,16,1
Kyle Lewis,19,16,1
Francisco Mejía,20,16,1
Jordan Westburg,21,16,1
Jesús Sánchez,19,16,1
Jordan Beck,19,16,1
Heston Kjerstad,21,16,1
Justin Crawford,18,16,1
Justin Foscue,21,16,1
Jorge Mateo,19,15,1
Ezequiel Duran,18,15,1
Garrett Mitchell,21,15,1
Drew Gilbert,19,15,1
Aiva Arquette,19,15,1
Austin Wells,20,15,1
Eli Willits,17,15,1
Jorge Mateo,17,14,1
Anthony Alford,19,14,1
Oneil Cruz,21,14,1
Sean Murphy,21,14,1
Colton Cowser,20,14,1
Henry Davis,20,14,1
Victor Mesa,20,14,1
George Lombard Jr.,18,13,1
Corey Ray,20,13,1
Blake Rutherford,21,13,2
Blake Mitchell,18,13,1
Ronaldo Hernández,17,13,1
Luis García Jr.,17,13,1
Tyler Black,19,13,1
Cristian Hernández,17,13,1
Vladimir Guerrero Jr.,20,13,1
Matt McLain,20,13,1
Elijah Green,18,12,1
Keibert Ruiz,21,12,2
Cooper Pratt,18,12,1
Alex Ramírez,19,12,1
Luis Peña,19,12,1
Corey Ray,19,12,1
Carson Williams,18,11,1
Victor Mesa,17,11,1
Tyler Stephenson,20,11,2
Dansby Swanson,19,11,1
Cristian Pache,21,11,2
Delvin Pérez,21,11,1
Kayson Cunningham,19,11,1
Harry Ford,20,11,1
Matt Shaw,18,11,1
Zyhir Hope,18,11,1
Adley Rutschman,18,10,1
Luis García Jr.,18,10,1
Ethan Salas,19,10,1
Miguel Amaya,21,10,1
Jett Williams,18,10,1
Dalton Rushing,19,10,1
Steele Hall,18,10,1
Travis Bazzana,17,9,1
Kahlil Watson,18,9,1
Arjun Nimmala,17,9,1
Kevin Maitan,20,9,1
Theo Gillen,18,8,1
Miguel Vargas,20,8,1
Juan Soto,17,8,1
Josuar Gonzalez,18,8,1
Sal Stewart,18,8,1
A.J. Ewing,18,7,1
Corbin Carroll,20,7,1
Rafael Devers,21,7,1
Blake Rutherford,20,7,1
Travis Bazzana,16,7,1
Pete Crow-Armstrong,19,6,1
Oswald Peraza,20,6,1
Anthony Alford,18,6,1
George Valera,17,6,1
Ralphy Velazquez,18,6,1
Anthony Alford,17,5,1
Xavier Isaac,18,5,1
Garrett Mitchell,18,4,1
Tyler Stephenson,19,4,1
Travis Bazzana,15,3,1
Jordan Lawlar,18,2,1
Nathan Flewelling,16,2,1
Oscar Colás,18,2,1
Triston Casas,18,2,1
Jeferson Quero,21,1,1
Luis Campusano,21,1,1
Ronny Mauricio,19,1,1
Ethan Salas,16,1,1
